# HTTP Level 3 Scenario - DNS Resolution with ARP and Firewall
# Format: step;device;image(opt);wled(opt);time_sec(default=5);desc(opt);

1;main;000_init.png;;;;
2;main;001_TypeURL@Client.png;;;;
3;main;002_DNScache@Client.png;;;;
4;main;003_DNSquery@Client.png;;;;
5;main;004_DNSquery@Client.png;main>switch;;
6;switch;005_DNSqueryPacket@Switch.png;;;Der Switch empfängt die DNS-Anfrage und muss sie weiterleiten.;
7;switch;006_ARP@switch.png;;;Der Switch erkennt, dass das Paket für die IP-Adresse 192.168.0.1 bestimmt ist.;
8;switch;007_ARP@switch.png;;;Dafür benötigt er die passende MAC-Adresse und startet eine ARP-Anfrage.;
9;switch;008_ARPBroadcast@switch.png;;;Der Switch sendet ein Broadcast, um die MAC-Adresse von 192.168.0.1 herauszufinden.;
10;switch;;switch>main;;
10;switch;;switch>router;;
11;main;010_ARPBroadcast@transfer.png;;;;
12;router;010_ARPBroadcast@transfer.png;;;Dieses ARP-Broadcast erreicht alle Geräte im lokalen Netz.;
12;router;011_ARPReply@router.png;router>switch;;Der Router meldet sich mit seiner ARP-Antwort: Er besitzt die IP-Adresse 192.168.0.1 und gibt seine MAC-Adresse bekannt.;
13;switch;012_ARPdone@switch.png;switch>router;;Der Switch kennt nun die Zuordnung von IP zu MAC-Adresse.;
14;router;013_DNSqueryPacket@Router.png;;;Mit dieser Information kann das DNS-Paket an den Router weitergeleitet werden.;
15;router;014_Routelookup@router.png;;;Der Router prüft, wohin er die DNS-Anfrage schicken muss.;
16;router;015_Routelookup@router.png;router>dns;;Das Ziel wurde gefunden, die Weiterleitung wird vorbereitet.;
17;dns;016_DNSqueryPacket@DNS.png;;;Das Paket erreicht den zuständigen DNS-Server.;
18;dns;017_DNSquery@DNS.png;;;Der DNS-Server verarbeitet die Anfrage und sucht die IP-Adresse.;
19;dns;018_DNSreply@DNS.png;dns>router;;Der DNS-Server erstellt eine Antwort mit der passenden IP-Adresse.;
20;router;019_DNSreply@router.png;;;Der Router empfängt die DNS-Antwort und bereitet die Weiterleitung vor.;
21;router;020_Routelookup@router.png;;;Der Router sucht die richtige Route zurück zum Client.;
22;router;021_Routelookup@router.png;router>switch;;Er hat die Route gefunden und sendet die Antwort ins Netzwerk zurück.;
23;switch;022_DNSreply@switch.png;;;Der Switch empfängt die DNS-Antwort.;
24;switch;023_ARP@switch.png;;;Um das Zielgerät zu erreichen, benötigt er erneut die MAC-Adresse.;
25;switch;024_ARP@switch.png;switch>main;;Der Switch kennt die MAC-Adresse des Clients bereits aus seiner ARP-Tabelle. Er weiß, dass der Client am Interface IF-01 angeschlossen ist und kann das Paket gezielt zustellen.;
26;main;025_DNSreply@client.png;;;;
27;main;026_DNSreply@client.png;;;;
28;main;027_DNSok@client.png;;;;
30;main;030_TCP_SYN@Client.png;main>switch;;
31;switch;031_TCP_SYN@Transfer.png;switch>router;;Das SYN-Paket durchläuft das Netzwerk und wird weitergeleitet.;
32;router;031_TCP_SYN@Transfer.png;router>firewall;;Das SYN-Paket durchläuft das Netzwerk und wird weitergeleitet.;
33;firewall;031_TCP_SYN@Transfer.png;;;Das SYN-Paket durchläuft das Netzwerk und wird weitergeleitet.;
34;firewall;032_ACL@firewall.png;;;Die Firewall prüft anhand von ACL-Regeln, ob die Verbindung erlaubt ist.;
35;firewall;033_ACL@firewall.png;;;Die Anfrage ist erlaubt und darf weiter.;
36;firewall;034_NAT@firewall.png;;;Die Firewall überprüft, ob für den ausgehenden Datenverkehr eine NAT aktiv ist. Nur so kann die private IP-Adresse des Clients das Internet nutzen.;
37;firewall;035_NAT@firewall.png;firewall>server;;Die Firewall bestätigt: NAT ist aktiviert. Die Quelladresse des Clients wird maskiert – er tritt nach außen mit der Adresse 192.168.0.100 auf.;
